Job Title,Location,Link,Job Responsibilities,Profile,Additional Information
Stock Room Expert (m/w/x) Berlin AlexanderplatzSephoraReference: 227305,Stock Room Expert (m/w/x) Berlin Alexanderplatz,https://www.lvmh.com/join-us/our-job-offers/227305,Not Available,"ProfileFür unseren Corner im Galeria Karstadt Kaufhof in BERLIN am Alexanderplatz suchen wir in Voll- und Teilzeit: STOCKROOM EXPERT (m/w/x)  Wir suchen dich als Stockroom ExpertIn mit … … einer Leidenschaft für Logistik, einem Händchen für Organisation und einer Begeisterung für die Beauty Branche.  Dich erwarten …... eine attraktive Vergütung... eine überdurchschnittliche Anzahl an Urlaubstagen... Personalrabatte & Fitnessangebot... eine betriebliche Altersvorsorge... Weiterbildung & Flächentrainings... ein positives Umfeld & respektvolle Teamarbeit   Deine Mission wird es sein, …… die Schnittstelle zwischen Corner und Lager zu bilden.…deine Leidenschaft für Logistik in der Kommissionierung und Organisation von Waren zum Ausdruck zu bringen.… die komplette Warenlogistik zu übernehmen, von der Warenannahme bis zur Warenverräumung.…eigenständig Inventuren durchzuführen damit die stets die Warenverfügbarkeit sichergestellt ist…neue Guidelines auszurollen und die Verantwortung für die Ordnung des Lagers zu übernehmen  Wir freuen uns auf dich, wenn du ...… eine dynamische Arbeitsweise und eine ausgeprägte Hands-On Mentalität mitbringst.… bereits erste Erfahrungen im Bereich Stockroom und oder Operations sammeln konntest.… deine Stärken im Bereich Organisation und Belastbarkeit hast.… kurze Gespräche auch auf Englisch führen kannst.  Als Teil der LVMH-Familie liegt es in unserer DNA, innovativ zu sein. Bei Sephora wirst du von engagierten Führungskräften und energiegeladenen Teams umgeben sein, die Spaß daran haben überraschend anders zu sein. Gemeinsam mit dir möchten wir an deinem individuellen Karriereweg arbeiten und deine Kreativität entfesseln, damit du dich weiterentwickeln und deine Fähigkeiten ausbauen kannst. Hast du Interesse?Bewirb Dich jetzt als „Stockroom ExpertIn Berlin Alexanderplatz“ inklusive Lebenslauf und unter Angabe deiner Verfügbarkeit und Gehaltsvorstellung per E-Mail an karriere@sephora.de",Not Available
Stock Room Expert (m/w/x) KölnSephoraReference: 249601,Stock Room Expert (m/w/x) Köln,https://www.lvmh.com/join-us/our-job-offers/249601,Not Available,"ProfileFür unseren Sephora Store in HAMBURG suchen wir: STOCKROOM EXPERT (m/w/x) Wir suchen dich als Stockroom ExpertIn mit … … einer Leidenschaft für Logistik, einem Händchen für Organisation und einer Begeisterung für die Beauty Branche.  Dich erwarten … ... eine attraktive Vergütung... eine überdurchschnitlliche Anzahl an Urlaubstagen... Personalrabatte & Fitnessangebot... eine betriebliche Altervorsorge... Weiterbildung & Flächentrainings... ein positives Umfeld & respektvolle Teamarbeit  Deine Mission wird es sein, … … die Schnittstelle zwischen Corner und Lager zu bilden. …deine Leidenschaft für Logistik in der Kommissionierung und Organisation von Waren zum Ausdruck zu bringen.… die komplette Warenlogistik zu übernehmen, von der Warenannahme bis zur Warenverräumung. …eigenständig Inventuren durchzuführen damit die stets die Warenverfügbarkeit sichergestellt ist…neue Guidelines auszurollen und die Verantwortung für die Ordnung des Lagers zu übernehmen  Wir freuen uns auf dich, wenn du ... … eine dynamische Arbeitsweise und eine ausgeprägte Hands-On Mentalität mitbringst.… bereits erste Erfahrungen im Bereich Stockroom und oder Operations sammeln konntest.… deine Stärken im Bereich Organisation und Belastbarkeit hast.… kurze Gespräche auch auf Englisch führen kannst.  Als Teil der LVMH-Familie liegt es in unserer DNA, innovativ zu sein. Bei Sephora wirst du von engagierten Führungskräften und energiegeladenen Teams umgeben sein, die Spaß daran haben überraschend anders zu sein. Gemeinsam mit dir möchten wir an deinem individuellen Karriereweg arbeiten und deine Kreativität entfesseln, damit du dich weiterentwickeln und deine Fähigkeiten ausbauen kannst.   Hast du Interesse?Bewirb Dich jetzt als „Stockroom ExpertIn Hamburg“ inklusive Lebenslauf und unter Angabe deiner Verfügbarkeit und Gehaltsvorstellung per E-Mail an karriere@sephora.de",Not Available
Client Advisor (m/w/d) DüsseldorfTiffany & Co.Reference: 59261,Client Advisor (m/w/d) Düsseldorf,https://www.lvmh.com/join-us/our-job-offers/59261,Not Available,Not Available,Not Available
Kundenberater (m/w/d)Louis VuittonReference: LVM24642,Kundenberater (m/w/d),https://www.lvmh.com/join-us/our-job-offers/LVM24642,"Job responsibilitiesIn unserem Store im Münchner Oberpollinger besetzen wir zum nächstmöglichen Zeitpunkt folgende Position
 
KUNDENBERATER (M/W/D) in Vollzeit
Ihre Aufgaben:
• Beratung und Betreuung unserer anspruchsvollen nationalen und internationalen Kunden
• Verkauf des gesamten Sortiments von Louis Vuitton und Stilberatung
• Aufbau und Pflege von Kundenbeziehungen
 
 
• Mitwirkung bei In-Store-Events (Kollektionswechsel, Private Appointments, Product Launches)  
• Organisation und Verwaltung des Warenlagers","Profile•Erfolgreich abgeschlossene Berufsausbildung
• Idealerweise bereits erste Erfahrungen im Einzelhandel
 
• Positive Ausstrahlung und Begeisterungsfähigkeit
• Ausgeprägte Kundenorientierung sowie Freude am Verkauf
• Spaß am Arbeiten im Team
• Deutsch- und Englischkenntnisse sind Voraussetzung
• Weitere Sprachen sind von Vorteil","Additional informationWir bieten Ihnen eine interessante und abwechslungsreiche Tätigkeit in einem internationalen, multikulturellen und dynamischen Ambiente, nette Kollegen und herausfordernde Aufgaben.
Wenn Sie sich in dieser Beschreibung erkennen, freuen wir uns auf Ihre Onlinebewerbung unter jobs.louisvuitton.com. Bitte beachten Sie, dass wir ausschließlich Onlinebewerbungen berücksichtigen können und postalisch zugesandte Bewerbungsunterlagen von uns nicht zurückgesandt werden."
Beauty Consultant (m/w/x) SulzbachSephoraReference: 231738,Beauty Consultant (m/w/x) Sulzbach,https://www.lvmh.com/join-us/our-job-offers/231738,Not Available,"Profile.Für unseren Sephora Store in SULZBACH (MTZ) suchen wir in Teilzeit/Vollzeit: Verkäufer (m/w/x) im Bereich Beauty  Wir suchen dich als VerkäuferIn / Beauty Consultant mit … … einem Händchen für die Kreation von einzigartigen Verkaufserlebnissen, einer Leidenschaft für unsere unvergleichliche Auswahl an Beauty-Produkten sowie einem ausgeprägten Teamgeist.  Dich erwarten … ... eine attraktive Vergütung... eine überdurchschnittliche Anzahl an Urlaubstagen... Personalrabatte & Fitnessangebot... eine betriebliche Altersvorsorge... Weiterbildung & Flächentrainings... ein positives Umfeld & respektvolle Teamarbeit   Deine Mission wird es sein, … … eindrucksvolle Kundenerlebnisse zu kreieren. Bereite eine einladende Atmosphäre, indem du individuell auf die Bedürfnisse unserer Kunden und Kundinnen eingehst. … dein Experten-Wissen im Bereich Make Up zu teilen. Entfalte deine Kreativität, deine ansteckende Leidenschaft und dein Wissen über unsere einzigartigen Marken und Produkte.… den Erfolg des Stores zu unterstützen. Hilf dabei, einen glänzenden ersten Eindruck zu hinterlassen, indem du den Store sauber und ordentlich hältst. … deinen Teamgeist auszuleben. Trage zu den Verkaufszielen deines Stores bei und teile dein Wissen über die Sephora Verkaufsstrategien mit deinen Kollegen und Kolleginnen.  Wir freuen uns auf dich, wenn du ... … eine abgeschlossene Ausbildung oder vergleichbare Erfahrung im Bereich Beauty, Kosmetik, Retail, Fashion oder Gastronomie mitbringst.… ein aufgeschlossener und geselliger Mensch mit Verkaufserfahrung bist.… deine Stärken im Bereich Kommunikation, Zuverlässigkeit und Organisation hast.… keine Schwierigkeit damit hast, kurze Gespräche auch auf Englisch zu führen.  Als Teil der LVMH-Familie liegt es in unserer DNA, innovativ zu sein. Bei Sephora wirst du von engagierten Führungskräften und energiegeladenen Teams umgeben sein, die Spaß daran haben überraschend anders zu sein. Gemeinsam mit dir möchten wir an deinem individuellen Karriereweg arbeiten und deine Kreativität entfesseln, damit du dich weiterentwickeln und deine Fähigkeiten ausbauen kannst.     Hast du Interesse?Bewirb Dich jetzt als „Beauty Consultant Sulzbach“ inklusive Lebenslauf und unter Angabe deiner Verfügbarkeit und Gehaltsvorstellung per E-Mail an karriere@sephora.de .",Not Available
Mechatroniker (m/f/d) Tagschicht KölnRimowaReference: RIM00751,Mechatroniker (m/f/d) Tagschicht Köln,https://www.lvmh.com/join-us/our-job-offers/RIM00751,"Job responsibilitiesHerzlich willkommen bei RIMOWA – der ersten deutschen Maison der LVMH Gruppe. Wir sind eine globale Lifestyle-Marke und verfolgen das Ziel, essentielle Begleiter für lebenslanges Reisen zu entwickeln. Seit über 125 Jahren stellen wir einzigartige Produkte her, die Luxus und Funktionalität, Tradition und Innovation, Handwerkskunst und zeitloses Design miteinander verbinden.Wir bei RIMOWA glauben, dass große Ziele nur mit zuverlässigen Begleitern erreicht werden können. Deshalb steht bei der Entwicklung unserer Produkte insbesondere ihre Langlebigkeit im Fokus. Denn die bedeutendste Reise dauert länger als ein einzelner Trip – sie währt ein Leben lang.
IHRE AUFGABEN:

Instandhaltungs- und Wartungsarbeiten an Produktionsanlagen
Fehlersuche und Entstören von Maschinen sowie automatisierter Produktionsanlagen
Austausch von Baugruppen sowie Ersatz- und Verschleißteilen an Maschinen und Anlagen
Überwachung und Entstören der automatisierten Fördertechnik (Palettenförderanlage)
Pflege, Aktualisierung und ggf. Digitalisierung der Maschinen- und Anlagendokumentation
Beschaffung von Ersatzeilen und Betriebsmitteln, sowie externer Serviceleistungen
Unterstützung, Beaufsichtigung und Dokumentation von Reparaturen und Montagearbeiten 
Führung von Wartungsprotokollen und Berichten über tägliche Arbeiten
Gelegentliche Unterstützung beim Vorrichtungsbau
Überwachung und Dokumentation von Prüffristen
Sicherstellung der Einhaltung von Gesundheits- und Sicherheitsvorschriften","ProfileIHR PROFIL:

Abgeschlossene Ausbildung in der Fachrichtung Mechatronik (oder Energie- und Anlagenelektroniker / Elektroniker für Automatisierungstechnik mit guten mechanischen Kenntnissen) oder vergleichbare Ausbildungen
Mehrjährige Berufserfahrung in der Instandhaltung mit guten Kenntnissen in den Bereichen Pneumatik, Elektronik, Mechanik und Hydraulik
Praktische Kenntnisse im Umgang mit automatisierten Anlagen mit integrierter Industrierobotik (KUKA, ABB, Siemens S7) sind von Vorteil
Gute Fähigkeiten im Bereich Dokumentation
Ausgeprägte kommunikative Fähigkeiten mit dem Wunsch zur Teamarbeit
Organisationstalent in Verbindung mit einer selbstständigen Hands-On-Mentalität 
Solide MS-Office Kenntnisse
Kenntnisse im Umgang mit dem Werkstoff Aluminium von Vorteil 
Idealerweise CNC- Kenntnisse
Gute Deutschkenntnisse in Wort und Schrift
Englischkenntnisse von Vorteil","Additional informationWAS WIR IHNEN BIETEN:
Wir bieten Ihnen eine verantwortungsvolle Aufgabe in unserem Produktionsumfeld mit Manufakturcharakter und automatisierten Prozessen. Gemeinsam mit Ihrem Team tragen Sie maßgeblich dazu bei, die reibungslose Produktion zu gewährleisten. Werden Sie außerdem Teil eines international agierenden Unternehmens mit qualitativ hochwertigen Produkten, eigener Produktion und Mono Brand Stores weltweit.WEITERE BENEFITS IM ÜBERBLICK:• Unbefristeter Arbeitsvertrag• 30 Tage bezahlter Urlaub pro Jahr und Überstundenausgleich • Attraktive Vergütung (Tarifvertrag) • Gewinnbeteiligungssystem / Profit Sharing• RIMOWA Essential Cabin Koffer als Geschenk nach der Probezeit• Internationales und interessantes Umfeld innerhalb der LVHM-Gruppe • Individuelle Entwicklungs- und Coaching Möglichkeiten• Spannende Projektmöglichkeiten• 30% Rabatt auf das RIMOWA-Sortiment• Firmenvorteile (z.B. für Sport, Lifestyle, Mode, etc.)• Regelmäßige Private Sales bei RIMOWA und der LVMH Gruppe• Betriebliche Altersvorsorge mit hohem Arbeitgeber Anteil• LVMH Herzfonds in Krisensituationen• Pensionszusage im Todes- oder Invaliditätsfall (arbeitgeberfinanziert) • Gute Verkehrsanbindung, ausreichend Mitarbeiterparkplätze, Jobtickets, Job Bikes• Regelmäßige Mitarbeiter Events (Sommerfest, Weihnachtsfeier, After Work Events)• Qualitatives Betriebsrestaurant
Bitte senden Sie uns Ihre vollständigen Bewerbungsunterlagen einschließlich Ihrer Gehaltsvorstellungen mit Angabe des nächstmöglichen Eintrittstermins an Denise Schulz & Loreen Lamdi.
Wir freuen uns auf Ihre Bewerbung! 
Suchen Sie uns auf Instagram und Twitter @RIMOWA oder besuchen Sie uns auf unserer LVMH Karriere Seite:
https://www.lvmh.com/talents/work-with-us/job-offers/view-our-current-opportunities/?job=&place=8052&experience=&activity=&contract=&reference=&order=company&by=desc
 
 
Unsere integrative und vielfältige Kultur zu feiern, ist ein Kernstück der DNA von RIMOWA. Wir wissen, dass unser Geschäft nur dann florieren kann, wenn wir in allen Ländern, in denen wir tätig sind, über vielfältige Talente mit unterschiedlichen Hintergründen, Fähigkeiten und Fertigkeiten verfügen und unsere breite Kundenbasis widerspiegeln. Wir betrachten Vielfalt als einen der wichtigsten Faktoren für das Wachstum unseres Unternehmens."
InitiativbewerbungMoët HennessyReference: MHE00305,Initiativbewerbung,https://www.lvmh.com/join-us/our-job-offers/MHE00305,"Job responsibilitiesIhr Moët Hennessy Traumjob (m/w)
Als Weltmarktführer im Luxusgüterbereich besitzt LVMH ein einzigartiges Portfolio von über 70 Prestigemarken. Moët Hennessy Deutschland ist die deutsche Niederlassung für den Bereich Wines & Spirits. Zu unseren Marken gehören die Champagner Krug, Dom Pérignon, Moët & Chandon, Veuve Clicquot, Ruinart ebenso wie die bekannten Spirituosen Hennessy, Glenmorangie, Ardbeg, Belvedere sowie zahlreiche exklusive Weine, wie Cloudy Bay, Newton, Numanthia, Cape Mentelle, Terrazas de los Andes.
Durch unsere Leidenschaft für einzigartige Handwerkskunst, unsere kontinuierliche Innovationfähigkeit und unsere Kreativität schaffen wir seit Jahrhunderten Produkte höchster Qualität und damit einzigartige Augenblicke und Genussmomente, die Menschen auf der ganzen Welt miteinander verbinden.
Wir ermutigen Sie dazu, unsere Inspiration zu sein und Ihre Träume bei uns zu verwirklichen. Überzeugen Sie uns, dass Ihr Know-how und Ihr Potenzial entscheidend für uns sind, um zukünftig erfolgreich zu sein. „Being LVMH“ bedeutet, seinen unternehmerischen Tatendrang auszuleben und nach Perfektion und Exzellenz zu streben. Dabei stehen Menschen bei uns stets im Mittelpunkt.","ProfileWas wir bieten:
Sie kennen die Situation, dass man sich nicht ganz in einem Stellenagebot widerfindet oder die erforderlichen Voraussetzungen nicht 100 % erfüllt? Sie brauchen jemanden, der Ihr Potenzial erkennt, egal welche Position Sie aktuell innehaben? Sie glauben daran, dass man die Initiative ergreifen muss um seine Karriere nach vorne zu treiben?
Dann sind Sie bei uns richtig!
 
Was wir suchen:
Jeder, der motiviert ist, uns zu inspirieren und der es liebt, die Initiative zu ergreifen und mit anzupacken, um Teil dieses aufregenden Abenteuers zu sein, ist herzlich eingeladen, uns seine überzeugenden Bewerbungsunterlagen zu schicken.
 
Ihr Aufgabenbereich?
Verraten Sie es uns!
Ihre Chance – weil wir fest daran glauben:
PEOPLE MAKE THE DIFFERENCE!",Not Available
UHRMACHER (M/W/D) IM LUXUSBEREICHHublotReference: HUBL00702,UHRMACHER (M/W/D) IM LUXUSBEREICH,https://www.lvmh.com/join-us/our-job-offers/HUBL00702,"Job responsibilitiesHublot ist die Kunst der Fusion moderner Materialien mit der klassischen Uhrmacherkunst. Seit 2008 gehört die Schweizer Firma mit Hauptsitz in Nyon zu dem weltweit größten Luxusgüterkonzern LVMH. Dies ist die Heimat von 75 renommierten Häusern, die in sechs verschiedenen Sektoren verwurzelt sind. Zum Unternehmensbereich Uhren & Schmuck zählt auch unsere deutsche Vertriebsgesellschaft LVMH Watch & Jewelry Central Europe GmbH. Unsere rund 130 Mitarbeiterinnen und Mitarbeiter der drei Marken arbeiten an acht Standorten in den Ländern Deutschland, Niederlande und Österreich. Der Hauptsitz unserer Gesellschaft ist in Oberursel (Taunus), in der Nähe von Frankfurt am Main.
Wir verbinden ein internationales und dynamisches Arbeitsumfeld innerhalb des LVMH-Konzerns mit unserer familiären Arbeitsatmosphäre, in der Sie mit Hands-on-Mentalität und Ihrem Teamgedanken den Unterschied machen können.
Werden Sie Teil unseres Hublot-Reparaturteams für den Standort Oberursel als
Uhrmacher (m/w/d) im Luxusbereich
 
 
WAS DICH ERWARTET

Du übernimmst die selbständige Wartung und Grundüberholung von hochwertigen und exklusiven mechanischen und Quarz-Armbanduhren
Auch die Reparaturen an Gehäuse- und Bandbestandteilen gehören zu Deinem Aufgabengebiet
Die regelmäßige Qualitätskontrolle ist eine Selbstverständlichkeit für Dich","ProfileWAS DICH AUSZEICHNET

Erfolgreich abgeschlossene Berufsausbildung, Berufseinstieg möglich
Erste Erfahrungen im Reparaturbereich von hochwertigen Armbanduhren sind ein Plus
Handwerkliches Geschick kombiniert mit guten feinmotorischen Fähigkeiten

 
WAS WIR BIETEN

Eine moderne Werkstattausstattung und 30 Urlaubstage pro Kalenderjahr
Monatliche Sodexo Essensgutscheine im Wert von über 100€
Arbeitgebergeförderte, betriebliche Altersvorsorge
50% Arbeitgeberzuschuss zum Leasingfahrrad
100% Kostenübernahme des Deutschlandtickets
Jährliche Mitarbeitergespräche und individuelle Personalentwicklung
Kitazuschuss in Höhe von 100€ / Monat und fünf voll bezahlte Kind-Krankheitstage / Jahr
Eine offene und familiäre Arbeitsatmosphäre, regelmäßigen Mitarbeiterevents und eine Duz-Kultur

 
 
KONTAKT
Tickst Du wie wir? Dann freuen wir uns auf Deine Bewerbung (Anschreiben, Lebenslauf und relevante Zeugnisse) unter Angabe Deines frühestmöglichen Eintrittstermins und Deiner Gehaltsvorstellungen. 
 
Personalabteilung:
Naida Fehric
HR Business Partner Central Europe
LVMH Watch & Jewelry Central Europe GmbH, Zimmersmühlenweg 8-10, 61440 Oberursel",Not Available
Client Advisor & Sales Support (f/m/d) - Berlin KaDeWeBulgariReference: BULG08203,Client Advisor & Sales Support (f/m/d) - Berlin KaDeWe,https://www.lvmh.com/join-us/our-job-offers/BULG08203,Not Available,Not Available,Not Available
CLIENT ADVISOR & SALES SUPPORT - STUTTGART (m/f/d)BulgariReference: BULG07861,CLIENT ADVISOR & SALES SUPPORT - STUTTGART (m/f/d),https://www.lvmh.com/join-us/our-job-offers/BULG07861,Not Available,Not Available,Not Available
